GENES	SUBJ_A	SUBJ_D	SUBJ_CONTROL
ENSG00000223972	5	6	13
ENSG00000227232	9	2	6
ENSG00000278267	0	0	0
ENSG00000243485	0	0	0
ENSG00000284332	0	0	0
ENSG00000237613	0	0	0
ENSG00000268020	0	0	0
ENSG00000240361	0	1	0
ENSG00000186092	0	0	0
ENSG00000238009	4	11	12
ENSG00000239945	0	0	0
ENSG00000233750	17	23	19
ENSG00000268903	0	0	0
ENSG00000269981	0	0	0
ENSG00000239906	1	0	0
ENSG00000241860	234	140	153
ENSG00000222623	0	1	0
ENSG00000241599	3	0	0
ENSG00000279928	0	0	3
ENSG00000279457	12	9	6
ENSG00000273874	0	0	0
ENSG00000228463	30	10	63
ENSG00000236679	0	0	0
ENSG00000236601	0	0	0
ENSG00000237094	83	38	57
ENSG00000269732	0	0	0
ENSG00000284733	0	0	0
ENSG00000233653	0	0	0
ENSG00000250575	0	0	0
ENSG00000278757	3	1	1
ENSG00000230021	2	0	1
ENSG00000235146	0	0	0
ENSG00000225972	0	0	0
ENSG00000225630	42	41	57
ENSG00000237973	5	7	15
ENSG00000278791	0	0	0
ENSG00000229344	0	1	0
ENSG00000240409	0	0	0
ENSG00000248527	24	27	25
ENSG00000198744	0	0	0
ENSG00000268663	0	0	0
ENSG00000284662	0	0	0
ENSG00000229376	0	0	0
ENSG00000228327	33	34	30
ENSG00000223181	0	0	1
ENSG00000229905	0	0	0
ENSG00000237491	25	20	28
ENSG00000230092	86	62	109
ENSG00000177757	2	1	4
ENSG00000228794	68	69	76
ENSG00000225880	1	4	0
ENSG00000230368	9	11	5
ENSG00000234711	0	0	0
ENSG00000283040	0	0	0
ENSG00000272438	0	0	0
ENSG00000230699	0	0	0
ENSG00000241180	0	0	0
ENSG00000223764	0	0	0
ENSG00000187634	0	1	1
ENSG00000188976	45	55	67
ENSG00000187961	10	7	26
ENSG00000187583	1	1	0
ENSG00000187642	0	0	0
ENSG00000272512	0	1	0
ENSG00000188290	28	25	6
ENSG00000187608	185	2038	104
ENSG00000231702	0	0	0
ENSG00000224969	2	3	1
ENSG00000188157	5	10	6
ENSG00000242590	0	0	0
ENSG00000217801	3	2	3
ENSG00000273443	0	0	0
ENSG00000237330	1	0	0
ENSG00000131591	6	13	15
ENSG00000223823	0	0	0
ENSG00000207730	1	0	0
ENSG00000207607	0	0	0
ENSG00000198976	0	0	0
ENSG00000272141	0	0	3
ENSG00000205231	0	0	0
ENSG00000162571	0	0	0
ENSG00000186891	10	15	14
ENSG00000186827	7	11	12
ENSG00000078808	210	113	162
ENSG00000176022	84	80	148
ENSG00000184163	3	1	0
ENSG00000260179	2	2	1
ENSG00000160087	287	173	262
ENSG00000230415	0	0	1
ENSG00000162572	5	10	10
ENSG00000131584	106	66	101
ENSG00000278073	0	0	0
ENSG00000169972	11	6	16
ENSG00000127054	182	138	196
ENSG00000283712	0	0	0
ENSG00000240731	2	1	3
ENSG00000224051	9	7	16
ENSG00000169962	9	3	13
ENSG00000107404	93	99	127
ENSG00000284372	0	0	0
ENSG00000162576	4	7	4
ENSG00000175756	368	189	230
ENSG00000223663	1	0	0
ENSG00000221978	474	477	821
ENSG00000224870	135	87	157
ENSG00000242485	216	162	279
ENSG00000264293	0	0	0
ENSG00000272455	20	19	22
ENSG00000235098	0	1	0
ENSG00000225905	0	0	0
